Variable,Type,NumUniqueValues,Variable_Type,Code,Description,Num Unique Values,Non Missing,Missing_N,Missing_P,Above 0,Positive Above 0,Negative Above 0,Precision,Above0_Diff,Above0_P,Positive Above0_P,Negative Above0_P,Mean,Positive Mean,Negative Mean,Percentage Mean Difference,Correlation,Abs_Correlation,p-value,p-value corrected,Diagnostic Odds,Positive Min,Positive P10,Positive P25,Positive P50,Positive P75,Positive P90,Positive Max,Negative Min,Negative P10,Negative P25,Negative P50,Negative P75,Negative P90,Negative Max
c88305_index_min_dd,numerical,732,Date_Difference,88305,"LEVEL IV - SURGICAL PATHOLOGY, GROSS AND MICROSCOPIC EXAMINATION ABORTION - SPONTANEOUS/MISSED ARTERY, BIOPSY BONE MARROW, BIOPSY BONE EXOSTOSIS BRAIN/MENINGES, OTHER THAN FOR TUMOR RESECTION BREAST, BIOPSY, NOT REQUIRING MICROSCOPIC EVALUATION OF SURGICAL MARGINS BREAST, REDUCTION MAMMOPLASTY BRONCHUS, BIOPSY CELL BLOCK, ANY SOURCE CERVIX, BIOPSY COLON, BIOPSY DUODENUM, BIOPSY ENDOCERVIX, CURETTINGS/BIOPSY ENDOMETRIUM, CURETTINGS/BIOPSY ESOPHAGUS, BIOPSY EXTREMITY, AMPUTATION, TRAUMATIC FALLOPIAN TUBE, BIOPSY FALLOPIAN TUBE, ECTOPIC PREGNANCY FEMORAL HEAD, FRACTURE FINGERS/TOES, AMPUTATION, NON-TRAUMATIC GINGIVA/ORAL MUCOSA, BIOPSY HEART VALVE JOINT, RESECTION KIDNEY, BIOPSY LARYNX, BIOPSY LEIOMYOMA(S), UTERINE MYOMECTOMY - WITHOUT UTERUS LIP, BIOPSY/WEDGE RESECTION LUNG, TRANSBRONCHIAL BIOPSY LYMPH NODE, BIOPSY MUSCLE, BIOPSY NASAL MUCOSA, BIOPSY NASOPHARYNX/OROPHARYNX, BIOPSY NERVE, BIOPSY ODONTOGENIC/DENTAL CYST OMENTUM, BIOPSY OVARY WITH OR WITHOUT TUBE, NON-NEOPLASTIC OVARY, BIOPSY/WEDGE RESECTION PARATHYROID GLAND PERITONEUM, BIOPSY PITUITARY TUMOR PLACENTA, OTHER THAN THIRD TRIMESTER PLEURA/PERICARDIUM - BIOPSY/TISSUE POLYP, CERVICAL/ENDOMETRIAL POLYP, COLORECTAL POLYP, STOMACH/SMALL INTESTINE PROSTATE, NEEDLE BIOPSY PROSTATE, TUR SALIVARY GLAND, BIOPSY SINUS, PARANASAL BIOPSY SKIN, OTHER THAN CYST/TAG/DEBRIDEMENT/PLASTIC REPAIR SMALL INTESTINE, BIOPSY SOFT TISSUE, OTHER THAN TUMOR/MASS/LIPOMA/DEBRIDEMENT SPLEEN STOMACH, BIOPSY SYNOVIUM TESTIS, OTHER THAN TUMOR/BIOPSY/CASTRATION THYROGLOSSAL DUCT/BRACHIAL CLEFT CYST TONGUE, BIOPSY TONSIL, BIOPSY TRACHEA, BIOPSY URETER, BIOPSY URETHRA, BIOPSY URINARY BLADDER, BIOPSY UTERUS, WITH OR WITHOUT TUBES AND OVARIES, FOR PROLAPSE VAGINA, BIOPSY VULVA/LABIA, BIOPSY",732,17629,53254,0.7512943865242724,15148,477,14671.0,0.03148930551888038,0.06288613274692989,0.2137042732389995,0.15357372826786864,0.21645986101479853,229.06670826479095,327.5883458646617,226.00105281628362,0.4434834455775551,0.0711,0.0711,0.0,0.0,1.4341242153661211,0.0,0.0,96.5,337.0,531.25,666.9,730,0.0,0.0,24.0,133.0,409.0,600.0,730
c88305_max_min_dd,numerical,699,Date_Difference,88305,"LEVEL IV - SURGICAL PATHOLOGY, GROSS AND MICROSCOPIC EXAMINATION ABORTION - SPONTANEOUS/MISSED ARTERY, BIOPSY BONE MARROW, BIOPSY BONE EXOSTOSIS BRAIN/MENINGES, OTHER THAN FOR TUMOR RESECTION BREAST, BIOPSY, NOT REQUIRING MICROSCOPIC EVALUATION OF SURGICAL MARGINS BREAST, REDUCTION MAMMOPLASTY BRONCHUS, BIOPSY CELL BLOCK, ANY SOURCE CERVIX, BIOPSY COLON, BIOPSY DUODENUM, BIOPSY ENDOCERVIX, CURETTINGS/BIOPSY ENDOMETRIUM, CURETTINGS/BIOPSY ESOPHAGUS, BIOPSY EXTREMITY, AMPUTATION, TRAUMATIC FALLOPIAN TUBE, BIOPSY FALLOPIAN TUBE, ECTOPIC PREGNANCY FEMORAL HEAD, FRACTURE FINGERS/TOES, AMPUTATION, NON-TRAUMATIC GINGIVA/ORAL MUCOSA, BIOPSY HEART VALVE JOINT, RESECTION KIDNEY, BIOPSY LARYNX, BIOPSY LEIOMYOMA(S), UTERINE MYOMECTOMY - WITHOUT UTERUS LIP, BIOPSY/WEDGE RESECTION LUNG, TRANSBRONCHIAL BIOPSY LYMPH NODE, BIOPSY MUSCLE, BIOPSY NASAL MUCOSA, BIOPSY NASOPHARYNX/OROPHARYNX, BIOPSY NERVE, BIOPSY ODONTOGENIC/DENTAL CYST OMENTUM, BIOPSY OVARY WITH OR WITHOUT TUBE, NON-NEOPLASTIC OVARY, BIOPSY/WEDGE RESECTION PARATHYROID GLAND PERITONEUM, BIOPSY PITUITARY TUMOR PLACENTA, OTHER THAN THIRD TRIMESTER PLEURA/PERICARDIUM - BIOPSY/TISSUE POLYP, CERVICAL/ENDOMETRIAL POLYP, COLORECTAL POLYP, STOMACH/SMALL INTESTINE PROSTATE, NEEDLE BIOPSY PROSTATE, TUR SALIVARY GLAND, BIOPSY SINUS, PARANASAL BIOPSY SKIN, OTHER THAN CYST/TAG/DEBRIDEMENT/PLASTIC REPAIR SMALL INTESTINE, BIOPSY SOFT TISSUE, OTHER THAN TUMOR/MASS/LIPOMA/DEBRIDEMENT SPLEEN STOMACH, BIOPSY SYNOVIUM TESTIS, OTHER THAN TUMOR/BIOPSY/CASTRATION THYROGLOSSAL DUCT/BRACHIAL CLEFT CYST TONGUE, BIOPSY TONSIL, BIOPSY TRACHEA, BIOPSY URETER, BIOPSY URETHRA, BIOPSY URINARY BLADDER, BIOPSY UTERUS, WITH OR WITHOUT TUBES AND OVARIES, FOR PROLAPSE VAGINA, BIOPSY VULVA/LABIA, BIOPSY",699,17629,53254,0.7512943865242724,4253,102,4151.0,0.0239830707735716,0.02840529994195863,0.060000282155100663,0.032839665164198326,0.061244965106156964,53.09189403823246,47.298872180451134,53.27215300929988,0.11250833930594528,-0.01852,0.01852,0.013919999999999998,0.06305346534653465,0.7398004403534032,0.0,0.0,0.0,0.0,0.0,189.90000000000003,706,0.0,0.0,0.0,0.0,0.0,212.0,729
c88307_claim_cnt,numerical,6,,88305,"LEVEL IV - SURGICAL PATHOLOGY, GROSS AND MICROSCOPIC EXAMINATION ABORTION - SPONTANEOUS/MISSED ARTERY, BIOPSY BONE MARROW, BIOPSY BONE EXOSTOSIS BRAIN/MENINGES, OTHER THAN FOR TUMOR RESECTION BREAST, BIOPSY, NOT REQUIRING MICROSCOPIC EVALUATION OF SURGICAL MARGINS BREAST, REDUCTION MAMMOPLASTY BRONCHUS, BIOPSY CELL BLOCK, ANY SOURCE CERVIX, BIOPSY COLON, BIOPSY DUODENUM, BIOPSY ENDOCERVIX, CURETTINGS/BIOPSY ENDOMETRIUM, CURETTINGS/BIOPSY ESOPHAGUS, BIOPSY EXTREMITY, AMPUTATION, TRAUMATIC FALLOPIAN TUBE, BIOPSY FALLOPIAN TUBE, ECTOPIC PREGNANCY FEMORAL HEAD, FRACTURE FINGERS/TOES, AMPUTATION, NON-TRAUMATIC GINGIVA/ORAL MUCOSA, BIOPSY HEART VALVE JOINT, RESECTION KIDNEY, BIOPSY LARYNX, BIOPSY LEIOMYOMA(S), UTERINE MYOMECTOMY - WITHOUT UTERUS LIP, BIOPSY/WEDGE RESECTION LUNG, TRANSBRONCHIAL BIOPSY LYMPH NODE, BIOPSY MUSCLE, BIOPSY NASAL MUCOSA, BIOPSY NASOPHARYNX/OROPHARYNX, BIOPSY NERVE, BIOPSY ODONTOGENIC/DENTAL CYST OMENTUM, BIOPSY OVARY WITH OR WITHOUT TUBE, NON-NEOPLASTIC OVARY, BIOPSY/WEDGE RESECTION PARATHYROID GLAND PERITONEUM, BIOPSY PITUITARY TUMOR PLACENTA, OTHER THAN THIRD TRIMESTER PLEURA/PERICARDIUM - BIOPSY/TISSUE POLYP, CERVICAL/ENDOMETRIAL POLYP, COLORECTAL POLYP, STOMACH/SMALL INTESTINE PROSTATE, NEEDLE BIOPSY PROSTATE, TUR SALIVARY GLAND, BIOPSY SINUS, PARANASAL BIOPSY SKIN, OTHER THAN CYST/TAG/DEBRIDEMENT/PLASTIC REPAIR SMALL INTESTINE, BIOPSY SOFT TISSUE, OTHER THAN TUMOR/MASS/LIPOMA/DEBRIDEMENT SPLEEN STOMACH, BIOPSY SYNOVIUM TESTIS, OTHER THAN TUMOR/BIOPSY/CASTRATION THYROGLOSSAL DUCT/BRACHIAL CLEFT CYST TONGUE, BIOPSY TONSIL, BIOPSY TRACHEA, BIOPSY URETER, BIOPSY URETHRA, BIOPSY URINARY BLADDER, BIOPSY UTERUS, WITH OR WITHOUT TUBES AND OVARIES, FOR PROLAPSE VAGINA, BIOPSY VULVA/LABIA, BIOPSY",6,70883,0,0.0,3667,54,3613.0,0.014725934005999454,0.03592146401173327,0.051733137705796885,0.017385705086928525,0.05330716909866179,0.06104425602753834,0.02157115260785576,0.06285318028239667,0.6762639167216279,-0.03312,0.03312,0.0,0.0,0.31421918592355624,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,6
c88307_flag,numerical,2,,88305,"LEVEL IV - SURGICAL PATHOLOGY, GROSS AND MICROSCOPIC EXAMINATION ABORTION - SPONTANEOUS/MISSED ARTERY, BIOPSY BONE MARROW, BIOPSY BONE EXOSTOSIS BRAIN/MENINGES, OTHER THAN FOR TUMOR RESECTION BREAST, BIOPSY, NOT REQUIRING MICROSCOPIC EVALUATION OF SURGICAL MARGINS BREAST, REDUCTION MAMMOPLASTY BRONCHUS, BIOPSY CELL BLOCK, ANY SOURCE CERVIX, BIOPSY COLON, BIOPSY DUODENUM, BIOPSY ENDOCERVIX, CURETTINGS/BIOPSY ENDOMETRIUM, CURETTINGS/BIOPSY ESOPHAGUS, BIOPSY EXTREMITY, AMPUTATION, TRAUMATIC FALLOPIAN TUBE, BIOPSY FALLOPIAN TUBE, ECTOPIC PREGNANCY FEMORAL HEAD, FRACTURE FINGERS/TOES, AMPUTATION, NON-TRAUMATIC GINGIVA/ORAL MUCOSA, BIOPSY HEART VALVE JOINT, RESECTION KIDNEY, BIOPSY LARYNX, BIOPSY LEIOMYOMA(S), UTERINE MYOMECTOMY - WITHOUT UTERUS LIP, BIOPSY/WEDGE RESECTION LUNG, TRANSBRONCHIAL BIOPSY LYMPH NODE, BIOPSY MUSCLE, BIOPSY NASAL MUCOSA, BIOPSY NASOPHARYNX/OROPHARYNX, BIOPSY NERVE, BIOPSY ODONTOGENIC/DENTAL CYST OMENTUM, BIOPSY OVARY WITH OR WITHOUT TUBE, NON-NEOPLASTIC OVARY, BIOPSY/WEDGE RESECTION PARATHYROID GLAND PERITONEUM, BIOPSY PITUITARY TUMOR PLACENTA, OTHER THAN THIRD TRIMESTER PLEURA/PERICARDIUM - BIOPSY/TISSUE POLYP, CERVICAL/ENDOMETRIAL POLYP, COLORECTAL POLYP, STOMACH/SMALL INTESTINE PROSTATE, NEEDLE BIOPSY PROSTATE, TUR SALIVARY GLAND, BIOPSY SINUS, PARANASAL BIOPSY SKIN, OTHER THAN CYST/TAG/DEBRIDEMENT/PLASTIC REPAIR SMALL INTESTINE, BIOPSY SOFT TISSUE, OTHER THAN TUMOR/MASS/LIPOMA/DEBRIDEMENT SPLEEN STOMACH, BIOPSY SYNOVIUM TESTIS, OTHER THAN TUMOR/BIOPSY/CASTRATION THYROGLOSSAL DUCT/BRACHIAL CLEFT CYST TONGUE, BIOPSY TONSIL, BIOPSY TRACHEA, BIOPSY URETER, BIOPSY URETHRA, BIOPSY URINARY BLADDER, BIOPSY UTERUS, WITH OR WITHOUT TUBES AND OVARIES, FOR PROLAPSE VAGINA, BIOPSY VULVA/LABIA, BIOPSY",2,70883,0,0.0,3667,54,3613.0,0.014725934005999454,0.03592146401173327,0.051733137705796885,0.017385705086928525,0.05330716909866179,0.051733137705796885,0.017385705086928525,0.05330716909866179,0.6943608218008425,-0.0332,0.0332,0.0,0.0,0.31421918592355624,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,1
c88307_index_max_dd,numerical,466,Date_Difference,88307,"LEVEL V - SURGICAL PATHOLOGY, GROSS AND MICROSCOPIC EXAMINATION ADRENAL, RESECTION BONE - BIOPSY/CURETTINGS BONE FRAGMENT(S), PATHOLOGIC FRACTURE BRAIN, BIOPSY BRAIN/MENINGES, TUMOR RESECTION BREAST, EXCISION OF LESION, REQUIRING MICROSCOPIC EVALUATION OF SURGICAL MARGINS BREAST, MASTECTOMY - PARTIAL/SIMPLE CERVIX, CONIZATION COLON, SEGMENTAL RESECTION, OTHER THAN FOR TUMOR EXTREMITY, AMPUTATION, NON-TRAUMATIC EYE, ENUCLEATION KIDNEY, PARTIAL/TOTAL NEPHRECTOMY LARYNX, PARTIAL/TOTAL RESECTION LIVER, BIOPSY - NEEDLE/WEDGE LIVER, PARTIAL RESECTION LUNG, WEDGE BIOPSY LYMPH NODES, REGIONAL RESECTION MEDIASTINUM, MASS MYOCARDIUM, BIOPSY ODONTOGENIC TUMOR OVARY WITH OR WITHOUT TUBE, NEOPLASTIC PANCREAS, BIOPSY PLACENTA, THIRD TRIMESTER PROSTATE, EXCEPT RADICAL RESECTION SALIVARY GLAND SENTINEL LYMPH NODE SMALL INTESTINE, RESECTION, OTHER THAN FOR TUMOR SOFT TISSUE MASS (EXCEPT LIPOMA) - BIOPSY/SIMPLE EXCISION STOMACH - SUBTOTAL/TOTAL RESECTION, OTHER THAN FOR TUMOR TESTIS, BIOPSY THYMUS, TUMOR THYROID, TOTAL/LOBE URETER, RESECTION URINARY BLADDER, TUR UTERUS, WITH OR WITHOUT TUBES AND OVARIES, OTHER THAN NEOPLASTIC/PROLAPSE",466,3667,67216,0.9482668622942032,1017,25,992.0,0.024582104228121928,0.006587295990304023,0.014347586868501615,0.008048937540244688,0.014636233530548713,63.60567221161713,138.59259259259258,62.48491558261832,1.1965548726026,0.05855,0.05855,0.00039,0.0031975806451612905,2.2777043937708563,0.0,0.0,0.0,0.0,227.75,426.1,702,0.0,0.0,0.0,0.0,8.0,252.80000000000015,729
c88307_index_min_dd,numerical,487,Date_Difference,88307,"LEVEL V - SURGICAL PATHOLOGY, GROSS AND MICROSCOPIC EXAMINATION ADRENAL, RESECTION BONE - BIOPSY/CURETTINGS BONE FRAGMENT(S), PATHOLOGIC FRACTURE BRAIN, BIOPSY BRAIN/MENINGES, TUMOR RESECTION BREAST, EXCISION OF LESION, REQUIRING MICROSCOPIC EVALUATION OF SURGICAL MARGINS BREAST, MASTECTOMY - PARTIAL/SIMPLE CERVIX, CONIZATION COLON, SEGMENTAL RESECTION, OTHER THAN FOR TUMOR EXTREMITY, AMPUTATION, NON-TRAUMATIC EYE, ENUCLEATION KIDNEY, PARTIAL/TOTAL NEPHRECTOMY LARYNX, PARTIAL/TOTAL RESECTION LIVER, BIOPSY - NEEDLE/WEDGE LIVER, PARTIAL RESECTION LUNG, WEDGE BIOPSY LYMPH NODES, REGIONAL RESECTION MEDIASTINUM, MASS MYOCARDIUM, BIOPSY ODONTOGENIC TUMOR OVARY WITH OR WITHOUT TUBE, NEOPLASTIC PANCREAS, BIOPSY PLACENTA, THIRD TRIMESTER PROSTATE, EXCEPT RADICAL RESECTION SALIVARY GLAND SENTINEL LYMPH NODE SMALL INTESTINE, RESECTION, OTHER THAN FOR TUMOR SOFT TISSUE MASS (EXCEPT LIPOMA) - BIOPSY/SIMPLE EXCISION STOMACH - SUBTOTAL/TOTAL RESECTION, OTHER THAN FOR TUMOR TESTIS, BIOPSY THYMUS, TUMOR THYROID, TOTAL/LOBE URETER, RESECTION URINARY BLADDER, TUR UTERUS, WITH OR WITHOUT TUBES AND OVARIES, OTHER THAN NEOPLASTIC/PROLAPSE",487,3667,67216,0.9482668622942032,1073,25,1048.0,0.023299161230195712,0.007413534979931772,0.015137621150346343,0.008048937540244688,0.015462472520176459,68.67412053449686,140.7037037037037,67.59756435095488,1.0645369577907535,0.05363,0.05363,0.00116,0.008077625570776256,2.109930244801264,0.0,0.0,0.0,0.0,227.75,480.60000000000014,702,0.0,0.0,0.0,0.0,15.0,280.0,729
c88307_max_min_dd,numerical,85,Date_Difference,88307,"LEVEL V - SURGICAL PATHOLOGY, GROSS AND MICROSCOPIC EXAMINATION ADRENAL, RESECTION BONE - BIOPSY/CURETTINGS BONE FRAGMENT(S), PATHOLOGIC FRACTURE BRAIN, BIOPSY BRAIN/MENINGES, TUMOR RESECTION BREAST, EXCISION OF LESION, REQUIRING MICROSCOPIC EVALUATION OF SURGICAL MARGINS BREAST, MASTECTOMY - PARTIAL/SIMPLE CERVIX, CONIZATION COLON, SEGMENTAL RESECTION, OTHER THAN FOR TUMOR EXTREMITY, AMPUTATION, NON-TRAUMATIC EYE, ENUCLEATION KIDNEY, PARTIAL/TOTAL NEPHRECTOMY LARYNX, PARTIAL/TOTAL RESECTION LIVER, BIOPSY - NEEDLE/WEDGE LIVER, PARTIAL RESECTION LUNG, WEDGE BIOPSY LYMPH NODES, REGIONAL RESECTION MEDIASTINUM, MASS MYOCARDIUM, BIOPSY ODONTOGENIC TUMOR OVARY WITH OR WITHOUT TUBE, NEOPLASTIC PANCREAS, BIOPSY PLACENTA, THIRD TRIMESTER PROSTATE, EXCEPT RADICAL RESECTION SALIVARY GLAND SENTINEL LYMPH NODE SMALL INTESTINE, RESECTION, OTHER THAN FOR TUMOR SOFT TISSUE MASS (EXCEPT LIPOMA) - BIOPSY/SIMPLE EXCISION STOMACH - SUBTOTAL/TOTAL RESECTION, OTHER THAN FOR TUMOR TESTIS, BIOPSY THYMUS, TUMOR THYROID, TOTAL/LOBE URETER, RESECTION URINARY BLADDER, TUR UTERUS, WITH OR WITHOUT TUBES AND OVARIES, OTHER THAN NEOPLASTIC/PROLAPSE",85,3667,67216,0.9482668622942032,104,2,102.0,0.019230769230769232,0.0008610202993166836,0.0014672065234259274,0.000643915003219575,0.0015049353025362586,5.068448322879738,2.1111111111111107,5.1126487683365625,0.5922005051676386,0.0060799999999999995,0.0060799999999999995,0.7126600000000001,0.8591355731225295,1.3239064856711915,0.0,0.0,0.0,0.0,0.0,0.0,110,0.0,0.0,0.0,0.0,0.0,0.0,709
c88309_claim_cnt,numerical,5,,88307,"LEVEL V - SURGICAL PATHOLOGY, GROSS AND MICROSCOPIC EXAMINATION ADRENAL, RESECTION BONE - BIOPSY/CURETTINGS BONE FRAGMENT(S), PATHOLOGIC FRACTURE BRAIN, BIOPSY BRAIN/MENINGES, TUMOR RESECTION BREAST, EXCISION OF LESION, REQUIRING MICROSCOPIC EVALUATION OF SURGICAL MARGINS BREAST, MASTECTOMY - PARTIAL/SIMPLE CERVIX, CONIZATION COLON, SEGMENTAL RESECTION, OTHER THAN FOR TUMOR EXTREMITY, AMPUTATION, NON-TRAUMATIC EYE, ENUCLEATION KIDNEY, PARTIAL/TOTAL NEPHRECTOMY LARYNX, PARTIAL/TOTAL RESECTION LIVER, BIOPSY - NEEDLE/WEDGE LIVER, PARTIAL RESECTION LUNG, WEDGE BIOPSY LYMPH NODES, REGIONAL RESECTION MEDIASTINUM, MASS MYOCARDIUM, BIOPSY ODONTOGENIC TUMOR OVARY WITH OR WITHOUT TUBE, NEOPLASTIC PANCREAS, BIOPSY PLACENTA, THIRD TRIMESTER PROSTATE, EXCEPT RADICAL RESECTION SALIVARY GLAND SENTINEL LYMPH NODE SMALL INTESTINE, RESECTION, OTHER THAN FOR TUMOR SOFT TISSUE MASS (EXCEPT LIPOMA) - BIOPSY/SIMPLE EXCISION STOMACH - SUBTOTAL/TOTAL RESECTION, OTHER THAN FOR TUMOR TESTIS, BIOPSY THYMUS, TUMOR THYROID, TOTAL/LOBE URETER, RESECTION URINARY BLADDER, TUR UTERUS, WITH OR WITHOUT TUBES AND OVARIES, OTHER THAN NEOPLASTIC/PROLAPSE",5,70883,0,0.0,2325,11,2314.0,0.004731182795698925,0.030599842875124718,0.03280053045158924,0.003541532517707663,0.03414137539283238,0.03525527982732108,0.0038634900193174494,0.03669386370007525,0.9312186385006624,-0.035160000000000004,0.035160000000000004,0.0,0.0,0.1005459498480137,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,4
c88309_flag,numerical,2,,88307,"LEVEL V - SURGICAL PATHOLOGY, GROSS AND MICROSCOPIC EXAMINATION ADRENAL, RESECTION BONE - BIOPSY/CURETTINGS BONE FRAGMENT(S), PATHOLOGIC FRACTURE BRAIN, BIOPSY BRAIN/MENINGES, TUMOR RESECTION BREAST, EXCISION OF LESION, REQUIRING MICROSCOPIC EVALUATION OF SURGICAL MARGINS BREAST, MASTECTOMY - PARTIAL/SIMPLE CERVIX, CONIZATION COLON, SEGMENTAL RESECTION, OTHER THAN FOR TUMOR EXTREMITY, AMPUTATION, NON-TRAUMATIC EYE, ENUCLEATION KIDNEY, PARTIAL/TOTAL NEPHRECTOMY LARYNX, PARTIAL/TOTAL RESECTION LIVER, BIOPSY - NEEDLE/WEDGE LIVER, PARTIAL RESECTION LUNG, WEDGE BIOPSY LYMPH NODES, REGIONAL RESECTION MEDIASTINUM, MASS MYOCARDIUM, BIOPSY ODONTOGENIC TUMOR OVARY WITH OR WITHOUT TUBE, NEOPLASTIC PANCREAS, BIOPSY PLACENTA, THIRD TRIMESTER PROSTATE, EXCEPT RADICAL RESECTION SALIVARY GLAND SENTINEL LYMPH NODE SMALL INTESTINE, RESECTION, OTHER THAN FOR TUMOR SOFT TISSUE MASS (EXCEPT LIPOMA) - BIOPSY/SIMPLE EXCISION STOMACH - SUBTOTAL/TOTAL RESECTION, OTHER THAN FOR TUMOR TESTIS, BIOPSY THYMUS, TUMOR THYROID, TOTAL/LOBE URETER, RESECTION URINARY BLADDER, TUR UTERUS, WITH OR WITHOUT TUBES AND OVARIES, OTHER THAN NEOPLASTIC/PROLAPSE",2,70883,0,0.0,2325,11,2314.0,0.004731182795698925,0.030599842875124718,0.03280053045158924,0.003541532517707663,0.03414137539283238,0.03280053045158924,0.003541532517707663,0.03414137539283238,0.9329069516204151,-0.03517,0.03517,0.0,0.0,0.1005459498480137,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,1
c88309_index_max_dd,numerical,398,Date_Difference,88309,"LEVEL VI - SURGICAL PATHOLOGY, GROSS AND MICROSCOPIC EXAMINATION BONE RESECTION BREAST, MASTECTOMY - WITH REGIONAL LYMPH NODES COLON, SEGMENTAL RESECTION FOR TUMOR COLON, TOTAL RESECTION ESOPHAGUS, PARTIAL/TOTAL RESECTION EXTREMITY, DISARTICULATION FETUS, WITH DISSECTION LARYNX, PARTIAL/TOTAL RESECTION - WITH REGIONAL LYMPH NODES LUNG - TOTAL/LOBE/SEGMENT RESECTION PANCREAS, TOTAL/SUBTOTAL RESECTION PROSTATE, RADICAL RESECTION SMALL INTESTINE, RESECTION FOR TUMOR SOFT TISSUE TUMOR, EXTENSIVE RESECTION STOMACH - SUBTOTAL/TOTAL RESECTION FOR TUMOR TESTIS, TUMOR TONGUE/TONSIL -RESECTION FOR TUMOR URINARY BLADDER, PARTIAL/TOTAL RESECTION UTERUS, WITH OR WITHOUT TUBES AND OVARIES, NEOPLASTIC VULVA, TOTAL/SUBTOTAL RESECTION",398,2325,68558,0.9671994695484109,680,11,669.0,0.016176470588235296,0.0063290725548095636,0.009593273422400293,0.003541532517707663,0.009870605072517226,78.91010752688172,370.6363636363636,77.52333621434745,3.714518160074279,0.11713,0.11713,0.0,0.0,inf,48.0,72.0,240.0,365.0,531.0,667.0,686,0.0,0.0,0.0,0.0,43.75,341.70000000000033,729
c88309_index_min_dd,numerical,400,Date_Difference,88309,"LEVEL VI - SURGICAL PATHOLOGY, GROSS AND MICROSCOPIC EXAMINATION BONE RESECTION BREAST, MASTECTOMY - WITH REGIONAL LYMPH NODES COLON, SEGMENTAL RESECTION FOR TUMOR COLON, TOTAL RESECTION ESOPHAGUS, PARTIAL/TOTAL RESECTION EXTREMITY, DISARTICULATION FETUS, WITH DISSECTION LARYNX, PARTIAL/TOTAL RESECTION - WITH REGIONAL LYMPH NODES LUNG - TOTAL/LOBE/SEGMENT RESECTION PANCREAS, TOTAL/SUBTOTAL RESECTION PROSTATE, RADICAL RESECTION SMALL INTESTINE, RESECTION FOR TUMOR SOFT TISSUE TUMOR, EXTENSIVE RESECTION STOMACH - SUBTOTAL/TOTAL RESECTION FOR TUMOR TESTIS, TUMOR TONGUE/TONSIL -RESECTION FOR TUMOR URINARY BLADDER, PARTIAL/TOTAL RESECTION UTERUS, WITH OR WITHOUT TUBES AND OVARIES, NEOPLASTIC VULVA, TOTAL/SUBTOTAL RESECTION",400,2325,68558,0.9671994695484109,682,11,671.0,0.016129032258064516,0.006358581090153411,0.009621488932466176,0.003541532517707663,0.009900113607861074,79.00774193548385,370.6363636363636,77.62143474503027,3.708686284574536,0.11699000000000001,0.11699000000000001,0.0,0.0,inf,48.0,72.0,240.0,365.0,531.0,667.0,686,0.0,0.0,0.0,0.0,44.0,341.70000000000033,729
c88309_max_min_dd,numerical,4,Date_Difference,88309,"LEVEL VI - SURGICAL PATHOLOGY, GROSS AND MICROSCOPIC EXAMINATION BONE RESECTION BREAST, MASTECTOMY - WITH REGIONAL LYMPH NODES COLON, SEGMENTAL RESECTION FOR TUMOR COLON, TOTAL RESECTION ESOPHAGUS, PARTIAL/TOTAL RESECTION EXTREMITY, DISARTICULATION FETUS, WITH DISSECTION LARYNX, PARTIAL/TOTAL RESECTION - WITH REGIONAL LYMPH NODES LUNG - TOTAL/LOBE/SEGMENT RESECTION PANCREAS, TOTAL/SUBTOTAL RESECTION PROSTATE, RADICAL RESECTION SMALL INTESTINE, RESECTION FOR TUMOR SOFT TISSUE TUMOR, EXTENSIVE RESECTION STOMACH - SUBTOTAL/TOTAL RESECTION FOR TUMOR TESTIS, TUMOR TONGUE/TONSIL -RESECTION FOR TUMOR URINARY BLADDER, PARTIAL/TOTAL RESECTION UTERUS, WITH OR WITHOUT TUBES AND OVARIES, NEOPLASTIC VULVA, TOTAL/SUBTOTAL RESECTION",4,2325,68558,0.9671994695484109,2,0,2.0,0.0,2.9508535343848213e-05,2.8215510065883214e-05,0.0,2.9508535343848213e-05,0.09763440860215053,0.0,0.09809853068280036,1.0047536732929991,-0.00202,0.00202,0.9223299999999999,0.9612710706150341,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,222
