Variable,Type,NumUniqueValues,Code,Description,Class,Variable_Type,Positive Above 0,Negative Above 0,Positive Mean above 0,Negative Mean above 0
c81003_max_min_dd,numerical,727,81003,"URINALYSIS, BY DIP STICK OR TABLET REAGENT FOR BILIRUBIN, GLUCOSE, HEMOGLOBIN, KETONES, LEUKOCYTES, NITRITE, PH, PROTEIN, SPECIFIC GRAVITY, UROBILINOGEN, ANY NUMBER OF THESE CONSTITUENTS; AUTOMATED, WITHOUT MICROSCOPY",CPT,Date_Difference,370,7164,342.0324324324324,291.4885538805137
c82040_claim_cnt,numerical,25,82040,"ALBUMIN; SERUM, PLASMA OR WHOLE BLOOD",CPT,NA,63,1044,1.9523809523809523,2.0804597701149423
c82040_index_max_dd,numerical,441,82040,"ALBUMIN; SERUM, PLASMA OR WHOLE BLOOD",CPT,Date_Difference,51,875,198.8235294117647,212.76457142857143
c82040_index_min_dd,numerical,499,82040,"ALBUMIN; SERUM, PLASMA OR WHOLE BLOOD",CPT,Date_Difference,54,908,274.6666666666667,283.8248898678414
c82040_max_min_dd,numerical,235,82040,"ALBUMIN; SERUM, PLASMA OR WHOLE BLOOD",CPT,Date_Difference,19,288,246.94736842105263,248.41666666666666
c82043_claim_cnt,numerical,14,82043,"ALBUMIN; URINE, MICROALBUMIN, QUANTITATIVE",CPT,NA,150,3803,1.6666666666666667,1.6831448856166185
c82043_index_max_dd,numerical,700,82043,"ALBUMIN; URINE, MICROALBUMIN, QUANTITATIVE",CPT,Date_Difference,148,3743,223.1216216216216,242.3021640395405
c82043_index_min_dd,numerical,725,82043,"ALBUMIN; URINE, MICROALBUMIN, QUANTITATIVE",CPT,Date_Difference,148,3768,354.89864864864865,371.3195329087049
c82043_max_min_dd,numerical,578,82043,"ALBUMIN; URINE, MICROALBUMIN, QUANTITATIVE",CPT,Date_Difference,58,1429,336.2586206896552,344.4331700489853
c82150_claim_cnt,numerical,11,82150,AMYLASE,CPT,NA,38,1466,1.2894736842105263,1.345156889495225
c82150_index_max_dd,numerical,511,82150,AMYLASE,CPT,Date_Difference,36,1279,243.69444444444446,202.8639562157936
c82150_index_min_dd,numerical,529,82150,AMYLASE,CPT,Date_Difference,37,1309,285.97297297297297,227.05729564553093
c82150_max_min_dd,numerical,148,82150,AMYLASE,CPT,Date_Difference,4,186,452,202.98387096774192
c82247_claim_cnt,numerical,19,82247,BILIRUBIN; TOTAL,CPT,NA,44,1017,1.6136363636363635,1.7345132743362832
c82247_index_max_dd,numerical,385,82247,BILIRUBIN; TOTAL,CPT,Date_Difference,29,780,266.86206896551727,200.17820512820512
c82247_index_min_dd,numerical,447,82247,BILIRUBIN; TOTAL,CPT,Date_Difference,32,836,323.625,255.51076555023923
c82247_max_min_dd,numerical,206,82247,BILIRUBIN; TOTAL,CPT,Date_Difference,10,253,261.7,227.14624505928853
c82248_claim_cnt,numerical,16,82248,BILIRUBIN; DIRECT,CPT,NA,61,1518,2.2131147540983607,1.5625823451910408
c82248_index_max_dd,numerical,511,82248,BILIRUBIN; DIRECT,CPT,Date_Difference,46,1289,208.3695652173913,209.26687354538402
c82248_index_min_dd,numerical,569,82248,BILIRUBIN; DIRECT,CPT,Date_Difference,53,1331,280.8867924528302,276.12546957175056
c82248_max_min_dd,numerical,277,82248,BILIRUBIN; DIRECT,CPT,Date_Difference,23,367,230.52173913043478,266.425068119891
c82270_claim_cnt,numerical,6,82270,"BLOOD, OCCULT, BY PEROXIDASE ACTIVITY (EG, GUAIAC), QUALITATIVE; FECES, CONSECUTIVE COLLECTED SPECIMENS WITH SINGLE DETERMINATION, FOR COLORECTAL NEOPLASM SCREENING (IE, PATIENT WAS PROVIDED 3 CARDS OR SINGLE TRIPLE CARD FOR CONSECUTIVE COLLECTION)",CPT,NA,52,1415,1.3076923076923077,1.2021201413427562
c82270_index_max_dd,numerical,599,82270,"BLOOD, OCCULT, BY PEROXIDASE ACTIVITY (EG, GUAIAC), QUALITATIVE; FECES, CONSECUTIVE COLLECTED SPECIMENS WITH SINGLE DETERMINATION, FOR COLORECTAL NEOPLASM SCREENING (IE, PATIENT WAS PROVIDED 3 CARDS OR SINGLE TRIPLE CARD FOR CONSECUTIVE COLLECTION)",CPT,Date_Difference,52,1373,292.15384615384613,301.3335761107065
c82270_index_min_dd,numerical,616,82270,"BLOOD, OCCULT, BY PEROXIDASE ACTIVITY (EG, GUAIAC), QUALITATIVE; FECES, CONSECUTIVE COLLECTED SPECIMENS WITH SINGLE DETERMINATION, FOR COLORECTAL NEOPLASM SCREENING (IE, PATIENT WAS PROVIDED 3 CARDS OR SINGLE TRIPLE CARD FOR CONSECUTIVE COLLECTION)",CPT,Date_Difference,52,1378,352.59615384615387,349.010885341074
c82270_max_min_dd,numerical,141,82270,"BLOOD, OCCULT, BY PEROXIDASE ACTIVITY (EG, GUAIAC), QUALITATIVE; FECES, CONSECUTIVE COLLECTED SPECIMENS WITH SINGLE DETERMINATION, FOR COLORECTAL NEOPLASM SCREENING (IE, PATIENT WAS PROVIDED 3 CARDS OR SINGLE TRIPLE CARD FOR CONSECUTIVE COLLECTION)",CPT,Date_Difference,9,203,349.22222222222223,331.064039408867
c82274_claim_cnt,numerical,6,82274,"BLOOD, OCCULT, BY FECAL HEMOGLOBIN DETERMINATION BY IMMUNOASSAY, QUALITATIVE, FECES, 1-3 SIMULTANEOUS DETERMINATIONS",CPT,NA,36,1175,1.2222222222222223,1.2076595744680851
c82274_index_max_dd,numerical,557,82274,"BLOOD, OCCULT, BY FECAL HEMOGLOBIN DETERMINATION BY IMMUNOASSAY, QUALITATIVE, FECES, 1-3 SIMULTANEOUS DETERMINATIONS",CPT,Date_Difference,34,1162,243.08823529411765,295.8459552495697
c82274_index_min_dd,numerical,593,82274,"BLOOD, OCCULT, BY FECAL HEMOGLOBIN DETERMINATION BY IMMUNOASSAY, QUALITATIVE, FECES, 1-3 SIMULTANEOUS DETERMINATIONS",CPT,Date_Difference,34,1163,299.05882352941177,346.6397248495271
c82274_max_min_dd,numerical,146,82274,"BLOOD, OCCULT, BY FECAL HEMOGLOBIN DETERMINATION BY IMMUNOASSAY, QUALITATIVE, FECES, 1-3 SIMULTANEOUS DETERMINATIONS",CPT,Date_Difference,5,184,380.6,322.6576086956522
c82306_claim_cnt,numerical,15,82306,"VITAMIN D; 25 HYDROXY, INCLUDES FRACTION(S), IF PERFORMED",CPT,NA,280,6291,2.05,1.6714353838817357
c82306_index_max_dd,numerical,719,82306,"VITAMIN D; 25 HYDROXY, INCLUDES FRACTION(S), IF PERFORMED",CPT,Date_Difference,251,5694,209.21912350597609,220.1887952230418
c82306_index_min_dd,numerical,730,82306,"VITAMIN D; 25 HYDROXY, INCLUDES FRACTION(S), IF PERFORMED",CPT,Date_Difference,257,5811,341.4630350194553,329.1022199277233
c82306_max_min_dd,numerical,637,82306,"VITAMIN D; 25 HYDROXY, INCLUDES FRACTION(S), IF PERFORMED",CPT,Date_Difference,109,2041,323.3211009174312,322.71337579617835
c82310_claim_cnt,numerical,26,82310,CALCIUM; TOTAL,CPT,NA,62,1450,2.2096774193548385,2.0220689655172412
c82310_index_max_dd,numerical,489,82310,CALCIUM; TOTAL,CPT,Date_Difference,52,1127,224.32692307692307,210.53859804791483
c82310_index_min_dd,numerical,561,82310,CALCIUM; TOTAL,CPT,Date_Difference,53,1201,322.39622641509436,281.84179850124895
c82310_max_min_dd,numerical,287,82310,CALCIUM; TOTAL,CPT,Date_Difference,22,415,246.45454545454547,243.89156626506025
c82550_claim_cnt,numerical,16,82550,"CREATINE KINASE (CK), (CPK); TOTAL",CPT,NA,148,4061,1.722972972972973,1.6158581630140358
c82550_index_max_dd,numerical,710,82550,"CREATINE KINASE (CK), (CPK); TOTAL",CPT,Date_Difference,138,3699,243.6159420289855,248.2176263855096
c82550_index_min_dd,numerical,729,82550,"CREATINE KINASE (CK), (CPK); TOTAL",CPT,Date_Difference,138,3788,329.8840579710145,317.3600844772967
c82550_max_min_dd,numerical,520,82550,"CREATINE KINASE (CK), (CPK); TOTAL",CPT,Date_Difference,51,1241,233.4313725490196,228.85012087026593
c82553_claim_cnt,numerical,13,82553,"CREATINE KINASE (CK), (CPK); MB FRACTION ONLY",CPT,NA,69,2040,1.463768115942029,1.4269607843137255
c82553_index_max_dd,numerical,623,82553,"CREATINE KINASE (CK), (CPK); MB FRACTION ONLY",CPT,Date_Difference,62,1782,204.69354838709677,247.32042648709316
c82553_index_min_dd,numerical,650,82553,"CREATINE KINASE (CK), (CPK); MB FRACTION ONLY",CPT,Date_Difference,62,1833,235.69354838709677,279.6590289143481
c82553_max_min_dd,numerical,244,82553,"CREATINE KINASE (CK), (CPK); MB FRACTION ONLY",CPT,Date_Difference,15,534,128.13333333333333,134.625468164794
c82565_claim_cnt,numerical,27,82565,CREATININE; BLOOD,CPT,NA,383,8871,1.566579634464752,1.5622815917033028
c82565_index_max_dd,numerical,722,82565,CREATININE; BLOOD,CPT,Date_Difference,312,7464,208.9903846153846,169.43502143622723
c82565_index_min_dd,numerical,732,82565,CREATININE; BLOOD,CPT,Date_Difference,331,7837,278.97280966767374,228.64093403087915
c82565_max_min_dd,numerical,632,82565,CREATININE; BLOOD,CPT,Date_Difference,94,2131,288.67021276595744,247.3937118723604
c82570_claim_cnt,numerical,25,82570,CREATININE; OTHER SOURCE,CPT,NA,251,5450,2.4262948207171315,2.19045871559633
c82570_index_max_dd,numerical,723,82570,CREATININE; OTHER SOURCE,CPT,Date_Difference,247,5196,253.77327935222672,247.66108545034643
c82570_index_min_dd,numerical,730,82570,CREATININE; OTHER SOURCE,CPT,Date_Difference,248,5350,415.625,388.5041121495327
c82570_max_min_dd,numerical,682,82570,CREATININE; OTHER SOURCE,CPT,Date_Difference,127,2483,318.0551181102362,318.8280306081353
c82607_claim_cnt,numerical,12,82607,CYANOCOBALAMIN (VITAMIN B-12);,CPT,NA,201,4839,1.4527363184079602,1.4277743335399875
c82607_index_max_dd,numerical,712,82607,CYANOCOBALAMIN (VITAMIN B-12);,CPT,Date_Difference,183,4489,223.9344262295082,230.66607262196482
c82607_index_min_dd,numerical,728,82607,CYANOCOBALAMIN (VITAMIN B-12);,CPT,Date_Difference,187,4542,291.2352941176471,299.08454425363277
c82607_max_min_dd,numerical,531,82607,CYANOCOBALAMIN (VITAMIN B-12);,CPT,Date_Difference,41,1120,328.8048780487805,288.3767857142857
c82728_claim_cnt,numerical,23,82728,FERRITIN,CPT,NA,195,3826,1.7435897435897436,1.869315211709357
c82728_index_max_dd,numerical,671,82728,FERRITIN,CPT,Date_Difference,161,3285,224.75155279503105,201.8584474885845
c82728_index_min_dd,numerical,712,82728,FERRITIN,CPT,Date_Difference,164,3365,294.859756097561,287.8035661218425
c82728_max_min_dd,numerical,524,82728,FERRITIN,CPT,Date_Difference,45,1095,270.4888888888889,278.862100456621
c82746_claim_cnt,numerical,11,82746,FOLIC ACID; SERUM,CPT,NA,120,3004,1.5416666666666667,1.3641810918774966
c82746_index_max_dd,numerical,654,82746,FOLIC ACID; SERUM,CPT,Date_Difference,107,2764,236.2429906542056,228.72612156295224
c82746_index_min_dd,numerical,694,82746,FOLIC ACID; SERUM,CPT,Date_Difference,109,2791,321.60550458715596,282.629881762809
c82746_max_min_dd,numerical,378,82746,FOLIC ACID; SERUM,CPT,Date_Difference,24,573,407.375,273.3350785340314
c82947_claim_cnt,numerical,27,82947,"GLUCOSE; QUANTITATIVE, BLOOD (EXCEPT REAGENT STRIP)",CPT,NA,127,2870,2.0708661417322833,2.0066202090592333
c82947_index_max_dd,numerical,683,82947,"GLUCOSE; QUANTITATIVE, BLOOD (EXCEPT REAGENT STRIP)",CPT,Date_Difference,116,2598,284.13793103448273,249.26173979984603
c82947_index_min_dd,numerical,713,82947,"GLUCOSE; QUANTITATIVE, BLOOD (EXCEPT REAGENT STRIP)",CPT,Date_Difference,121,2669,397.0165289256198,338.555638816036
c82947_max_min_dd,numerical,476,82947,"GLUCOSE; QUANTITATIVE, BLOOD (EXCEPT REAGENT STRIP)",CPT,Date_Difference,49,931,307.734693877551,274.99785177228785
c82948_claim_cnt,numerical,21,82948,"GLUCOSE; BLOOD, REAGENT STRIP",CPT,NA,53,1205,2.5283018867924527,2.0680497925311205
c82948_index_max_dd,numerical,506,82948,"GLUCOSE; BLOOD, REAGENT STRIP",CPT,Date_Difference,48,1043,264.0208333333333,234.55992329817832
c82948_index_min_dd,numerical,567,82948,"GLUCOSE; BLOOD, REAGENT STRIP",CPT,Date_Difference,50,1081,368.92,314.836262719704
c82948_max_min_dd,numerical,282,82948,"GLUCOSE; BLOOD, REAGENT STRIP",CPT,Date_Difference,26,480,222.03846153846155,199.35833333333332
c82962_claim_cnt,numerical,35,82962,"GLUCOSE, BLOOD BY GLUCOSE MONITORING DEVICE(S) CLEARED BY THE FDA SPECIFICALLY FOR HOME USE",CPT,NA,95,2967,2.8421052631578947,2.4600606673407484
c82962_index_max_dd,numerical,671,82962,"GLUCOSE, BLOOD BY GLUCOSE MONITORING DEVICE(S) CLEARED BY THE FDA SPECIFICALLY FOR HOME USE",CPT,Date_Difference,86,2590,273.7906976744186,231.72741312741312
c82962_index_min_dd,numerical,707,82962,"GLUCOSE, BLOOD BY GLUCOSE MONITORING DEVICE(S) CLEARED BY THE FDA SPECIFICALLY FOR HOME USE",CPT,Date_Difference,87,2716,391.2183908045977,346.4385125184094
c82962_max_min_dd,numerical,551,82962,"GLUCOSE, BLOOD BY GLUCOSE MONITORING DEVICE(S) CLEARED BY THE FDA SPECIFICALLY FOR HOME USE",CPT,Date_Difference,40,1354,262.25,251.66395864106352
c82977_claim_cnt,numerical,19,82977,"GLUTAMYLTRANSFERASE, GAMMA (GGT)",CPT,NA,36,1130,1.6111111111111112,1.738938053097345
c82977_index_max_dd,numerical,450,82977,"GLUTAMYLTRANSFERASE, GAMMA (GGT)",CPT,Date_Difference,29,1030,285.0344827586207,215.84077669902913
c82977_index_min_dd,numerical,516,82977,"GLUTAMYLTRANSFERASE, GAMMA (GGT)",CPT,Date_Difference,32,1049,311.65625,297.11725452812203
c82977_max_min_dd,numerical,240,82977,"GLUTAMYLTRANSFERASE, GAMMA (GGT)",CPT,Date_Difference,10,307,170.7,291.07491856677524
c83036_claim_cnt,numerical,20,83036,HEMOGLOBIN; GLYCOSYLATED (A1C),CPT,NA,438,11196,2.422374429223744,2.351107538406574
c83036_index_max_dd,numerical,731,83036,HEMOGLOBIN; GLYCOSYLATED (A1C),CPT,Date_Difference,429,10846,214.44055944055944,203.27374147151022
c83036_index_min_dd,numerical,732,83036,HEMOGLOBIN; GLYCOSYLATED (A1C),CPT,Date_Difference,434,11016,416.68663594470047,396.90858750907773
c83036_max_min_dd,numerical,722,83036,HEMOGLOBIN; GLYCOSYLATED (A1C),CPT,Date_Difference,231,5764,384.6190476190476,376.0648854961832
c83540_claim_cnt,numerical,30,83540,IRON,CPT,NA,201,3871,1.8059701492537314,1.9488504262464479
c83540_index_max_dd,numerical,670,83540,IRON,CPT,Date_Difference,171,3373,225.90058479532163,200.14171360806404
c83540_index_min_dd,numerical,715,83540,IRON,CPT,Date_Difference,175,3446,304.4971428571429,289.3078932095183
c83540_max_min_dd,numerical,537,83540,IRON,CPT,Date_Difference,50,1145,293.16,281.1152838427948
c83550_claim_cnt,numerical,26,83550,IRON BINDING CAPACITY,CPT,NA,163,2882,1.7177914110429449,1.900763358778626
c83550_index_max_dd,numerical,633,83550,IRON BINDING CAPACITY,CPT,Date_Difference,141,2555,235.40425531914894,199.15381604696674
c83550_index_min_dd,numerical,687,83550,IRON BINDING CAPACITY,CPT,Date_Difference,143,2601,308.9230769230769,280.4975009611688
c83550_max_min_dd,numerical,456,83550,IRON BINDING CAPACITY,CPT,Date_Difference,43,829,255.4418604651163,266.26779252110975
c83605_claim_cnt,numerical,9,83605,LACTATE (LACTIC ACID),CPT,NA,37,1642,1.2972972972972974,1.3471376370280146
c83605_index_max_dd,numerical,503,83605,LACTATE (LACTIC ACID),CPT,Date_Difference,32,1324,243.03125,190.87839879154077
c83605_index_min_dd,numerical,519,83605,LACTATE (LACTIC ACID),CPT,Date_Difference,32,1362,244.65625,213.33773861967694
c83605_max_min_dd,numerical,160,83605,LACTATE (LACTIC ACID),CPT,Date_Difference,3,236,17.333333333333332,160.35169491525423
c83615_claim_cnt,numerical,24,83615,"LACTATE DEHYDROGENASE (LD), (LDH);",CPT,NA,265,4227,1.9924528301886792,1.9131771942275846
c83615_index_max_dd,numerical,571,83615,"LACTATE DEHYDROGENASE (LD), (LDH);",CPT,Date_Difference,160,2646,126.8125,142.23167044595615
c83615_index_min_dd,numerical,672,83615,"LACTATE DEHYDROGENASE (LD), (LDH);",CPT,Date_Difference,185,2970,225.44864864864866,227.15185185185186
c83615_max_min_dd,numerical,521,83615,"LACTATE DEHYDROGENASE (LD), (LDH);",CPT,Date_Difference,85,1126,251.9764705882353,264.9165186500888
c83690_claim_cnt,numerical,15,83690,LIPASE,CPT,NA,109,3538,1.2935779816513762,1.4330130016958733
c83690_index_max_dd,numerical,664,83690,LIPASE,CPT,Date_Difference,91,2950,246.2087912087912,195.22101694915256
c83690_index_min_dd,numerical,693,83690,LIPASE,CPT,Date_Difference,92,3052,265.2282608695652,225.79423328964614
c83690_max_min_dd,numerical,322,83690,LIPASE,CPT,Date_Difference,12,611,166.33333333333334,185.30605564648118
c83721_claim_cnt,numerical,10,83721,"LIPOPROTEIN, DIRECT MEASUREMENT; LDL CHOLESTEROL",CPT,NA,48,1269,1.9791666666666667,1.6304176516942475
c83721_index_max_dd,numerical,563,83721,"LIPOPROTEIN, DIRECT MEASUREMENT; LDL CHOLESTEROL",CPT,Date_Difference,47,1242,264.82978723404256,269.4291465378422
c83721_index_min_dd,numerical,592,83721,"LIPOPROTEIN, DIRECT MEASUREMENT; LDL CHOLESTEROL",CPT,Date_Difference,47,1249,409.1489361702128,376.8799039231385
c83721_max_min_dd,numerical,297,83721,"LIPOPROTEIN, DIRECT MEASUREMENT; LDL CHOLESTEROL",CPT,Date_Difference,21,410,323,331.9317073170732
c83735_claim_cnt,numerical,33,83735,MAGNESIUM,CPT,NA,239,5507,1.9790794979079498,1.9595060831668785
c83735_index_max_dd,numerical,709,83735,MAGNESIUM,CPT,Date_Difference,190,4476,213.42105263157896,212.85277033065236
c83735_index_min_dd,numerical,730,83735,MAGNESIUM,CPT,Date_Difference,203,4745,293.16748768472905,287.78693361433085
c83735_max_min_dd,numerical,602,83735,MAGNESIUM,CPT,Date_Difference,74,1820,256.2567567567568,226.82417582417582
c83880_claim_cnt,numerical,19,83880,NATRIURETIC PEPTIDE,CPT,NA,110,3185,2.0272727272727273,1.603767660910518
c83880_index_max_dd,numerical,668,83880,NATRIURETIC PEPTIDE,CPT,Date_Difference,104,2871,233.68269230769232,226.70846394984326
c83880_index_min_dd,numerical,701,83880,NATRIURETIC PEPTIDE,CPT,Date_Difference,104,2936,296.53846153846155,282.4839918256131
c83880_max_min_dd,numerical,429,83880,NATRIURETIC PEPTIDE,CPT,Date_Difference,28,807,233.46428571428572,221.18091697645602
c83970_claim_cnt,numerical,23,83970,PARATHORMONE (PARATHYROID HORMONE),CPT,NA,49,1386,1.9591836734693877,2.593073593073593
c83970_index_max_dd,numerical,514,83970,PARATHORMONE (PARATHYROID HORMONE),CPT,Date_Difference,46,1330,233.15217391304347,201.50601503759398
c83970_index_min_dd,numerical,583,83970,PARATHORMONE (PARATHYROID HORMONE),CPT,Date_Difference,47,1339,318.8723404255319,335.8237490664675
c83970_max_min_dd,numerical,357,83970,PARATHORMONE (PARATHYROID HORMONE),CPT,Date_Difference,19,567,224.31578947368422,320.3968253968254
c84075_claim_cnt,numerical,25,84075,"PHOSPHATASE, ALKALINE;",CPT,NA,74,1440,1.972972972972973,1.895138888888889
c84075_index_max_dd,numerical,467,84075,"PHOSPHATASE, ALKALINE;",CPT,Date_Difference,59,1154,215.38983050847457,185.12478336221838
c84075_index_min_dd,numerical,555,84075,"PHOSPHATASE, ALKALINE;",CPT,Date_Difference,63,1221,308.76190476190476,252.51023751023752
c84075_max_min_dd,numerical,276,84075,"PHOSPHATASE, ALKALINE;",CPT,Date_Difference,23,377,293.2173913043478,251.14323607427056
c84100_claim_cnt,numerical,31,84100,PHOSPHORUS INORGANIC (PHOSPHATE);,CPT,NA,150,3113,2.2266666666666666,2.228397044651462
c84100_index_max_dd,numerical,643,84100,PHOSPHORUS INORGANIC (PHOSPHATE);,CPT,Date_Difference,110,2450,182.6090909090909,206.89061224489797
c84100_index_min_dd,numerical,697,84100,PHOSPHORUS INORGANIC (PHOSPHATE);,CPT,Date_Difference,120,2621,291.03333333333336,295.6810377718428
c84100_max_min_dd,numerical,481,84100,PHOSPHORUS INORGANIC (PHOSPHATE);,CPT,Date_Difference,60,1088,247.28333333333333,246.41360294117646
c84132_claim_cnt,numerical,26,84132,"POTASSIUM; SERUM, PLASMA OR WHOLE BLOOD",CPT,NA,63,1657,2.0952380952380953,1.907664453832227
c84132_index_max_dd,numerical,577,84132,"POTASSIUM; SERUM, PLASMA OR WHOLE BLOOD",CPT,Date_Difference,54,1440,267.7962962962963,236.63125
c84132_index_min_dd,numerical,617,84132,"POTASSIUM; SERUM, PLASMA OR WHOLE BLOOD",CPT,Date_Difference,59,1493,326.7118644067797,295.7541862022773
c84132_max_min_dd,numerical,283,84132,"POTASSIUM; SERUM, PLASMA OR WHOLE BLOOD",CPT,Date_Difference,21,407,229.28571428571428,247.6953316953317
c84153_claim_cnt,numerical,32,84153,PROSTATE SPECIFIC ANTIGEN (PSA); TOTAL,CPT,NA,1445,26575,3.8089965397923877,2.8422953904045154
c84153_index_max_dd,numerical,730,84153,PROSTATE SPECIFIC ANTIGEN (PSA); TOTAL,CPT,Date_Difference,1057,20607,112.71144749290444,138.61318969282283
c84153_index_min_dd,numerical,732,84153,PROSTATE SPECIFIC ANTIGEN (PSA); TOTAL,CPT,Date_Difference,1273,23842,382.3197172034564,340.19801191175236
c84153_max_min_dd,numerical,732,84153,PROSTATE SPECIFIC ANTIGEN (PSA); TOTAL,CPT,Date_Difference,975,15096,376.98153846153843,348.07889507154215
c84154_claim_cnt,numerical,16,84154,PROSTATE SPECIFIC ANTIGEN (PSA); FREE,CPT,NA,102,3137,1.7156862745098038,1.5180108383806183
c84154_index_max_dd,numerical,661,84154,PROSTATE SPECIFIC ANTIGEN (PSA); FREE,CPT,Date_Difference,95,2972,232.2421052631579,203.98250336473754
c84154_index_min_dd,numerical,702,84154,PROSTATE SPECIFIC ANTIGEN (PSA); FREE,CPT,Date_Difference,95,3019,311.3263157894737,268.3981450811527
c84154_max_min_dd,numerical,436,84154,PROSTATE SPECIFIC ANTIGEN (PSA); FREE,CPT,Date_Difference,25,800,300.52,255.0725
c84165_claim_cnt,numerical,6,84165,"PROTEIN; ELECTROPHORETIC FRACTIONATION AND QUANTITATION, SERUM",CPT,NA,53,1173,1.3396226415094339,1.2028985507246377
c84165_index_max_dd,numerical,386,84165,"PROTEIN; ELECTROPHORETIC FRACTIONATION AND QUANTITATION, SERUM",CPT,Date_Difference,43,923,269.6511627906977,171.69122426868907
c84165_index_min_dd,numerical,402,84165,"PROTEIN; ELECTROPHORETIC FRACTIONATION AND QUANTITATION, SERUM",CPT,Date_Difference,43,932,291.16279069767444,181.81008583690988
c84165_max_min_dd,numerical,56,84165,"PROTEIN; ELECTROPHORETIC FRACTIONATION AND QUANTITATION, SERUM",CPT,Date_Difference,3,60,308.3333333333333,182.93333333333334
c84270_claim_cnt,numerical,18,84270,SEX HORMONE BINDING GLOBULIN (SHBG),CPT,NA,64,1026,2.015625,1.8167641325536061
c84270_index_max_dd,numerical,419,84270,SEX HORMONE BINDING GLOBULIN (SHBG),CPT,Date_Difference,50,872,160.78,204.2327981651376
c84270_index_min_dd,numerical,497,84270,SEX HORMONE BINDING GLOBULIN (SHBG),CPT,Date_Difference,52,923,265.8269230769231,287.9230769230769
c84270_max_min_dd,numerical,252,84270,SEX HORMONE BINDING GLOBULIN (SHBG),CPT,Date_Difference,20,301,289.2,291.2358803986711
c84402_claim_cnt,numerical,12,84402,TESTOSTERONE; FREE,CPT,NA,85,963,1.4705882352941178,1.462097611630322
c84402_index_max_dd,numerical,467,84402,TESTOSTERONE; FREE,CPT,Date_Difference,73,856,207.9041095890411,240.9392523364486
c84402_index_min_dd,numerical,504,84402,TESTOSTERONE; FREE,CPT,Date_Difference,75,871,264.0133333333333,294.20206659012626
c84402_max_min_dd,numerical,184,84402,TESTOSTERONE; FREE,CPT,Date_Difference,18,207,256.8888888888889,241.57487922705315
c84403_claim_cnt,numerical,24,84403,TESTOSTERONE; TOTAL,CPT,NA,603,7438,2.2122719734660032,1.9158375907502017
c84403_index_max_dd,numerical,705,84403,TESTOSTERONE; TOTAL,CPT,Date_Difference,454,5698,144.6079295154185,173.03580203580205
c84403_index_min_dd,numerical,731,84403,TESTOSTERONE; TOTAL,CPT,Date_Difference,502,6256,283.93027888446215,279.14322250639384
c84403_max_min_dd,numerical,682,84403,TESTOSTERONE; TOTAL,CPT,Date_Difference,248,2634,310.0040322580645,288.6719817767654
c84436_claim_cnt,numerical,10,84436,THYROXINE; TOTAL,CPT,NA,43,1264,1.5813953488372092,1.4731012658227849
c84436_index_max_dd,numerical,562,84436,THYROXINE; TOTAL,CPT,Date_Difference,41,1225,267.1463414634146,265.24163265306123
c84436_index_min_dd,numerical,594,84436,THYROXINE; TOTAL,CPT,Date_Difference,41,1233,361.4878048780488,348.2416869424169
c84436_max_min_dd,numerical,258,84436,THYROXINE; TOTAL,CPT,Date_Difference,11,323,351.6363636363636,323.40866873065016
c84439_claim_cnt,numerical,15,84439,THYROXINE; FREE,CPT,NA,156,3747,1.7307692307692308,1.5820656525220176
c84439_index_max_dd,numerical,702,84439,THYROXINE; FREE,CPT,Date_Difference,148,3593,262.97972972972974,245.05427219593653
c84439_index_min_dd,numerical,714,84439,THYROXINE; FREE,CPT,Date_Difference,148,3623,379.77027027027026,336.9867513110682
c84439_max_min_dd,numerical,519,84439,THYROXINE; FREE,CPT,Date_Difference,56,1087,308.6607142857143,313.17663293468263
c84443_claim_cnt,numerical,19,84443,THYROID STIMULATING HORMONE (TSH),CPT,NA,443,11347,1.6455981941309255,1.6585000440645103
c84443_index_max_dd,numerical,731,84443,THYROID STIMULATING HORMONE (TSH),CPT,Date_Difference,421,10815,265.47980997624705,231.02542764678688
c84443_index_min_dd,numerical,732,84443,THYROID STIMULATING HORMONE (TSH),CPT,Date_Difference,424,10980,377.1438679245283,343.96001821493627
c84443_max_min_dd,numerical,702,84443,THYROID STIMULATING HORMONE (TSH),CPT,Date_Difference,148,3870,325.2837837837838,330.26899224806203
c84450_claim_cnt,numerical,19,84450,TRANSFERASE; ASPARTATE AMINO (AST) (SGOT),CPT,NA,103,1957,1.7864077669902914,1.8262646908533469
c84450_index_max_dd,numerical,612,84450,TRANSFERASE; ASPARTATE AMINO (AST) (SGOT),CPT,Date_Difference,88,1702,300.4431818181818,243.20505287896592
c84450_index_min_dd,numerical,672,84450,TRANSFERASE; ASPARTATE AMINO (AST) (SGOT),CPT,Date_Difference,92,1770,407.2826086956522,336.91638418079094
c84450_max_min_dd,numerical,398,84450,TRANSFERASE; ASPARTATE AMINO (AST) (SGOT),CPT,Date_Difference,38,628,290.2894736842105,290.4570063694268
c84460_claim_cnt,numerical,23,84460,TRANSFERASE; ALANINE AMINO (ALT) (SGPT),CPT,NA,102,2260,1.696078431372549,1.9053097345132743
c84460_index_max_dd,numerical,652,84460,TRANSFERASE; ALANINE AMINO (ALT) (SGPT),CPT,Date_Difference,87,2028,297.14942528735634,251.85059171597632
